var	Tx	Px	FACS	stat
CD1a	FALSE	FALSE	TRUE	1
CD213a2	FALSE	FALSE	TRUE	1
CD317	FALSE	FALSE	TRUE	1
CD39	FALSE	FALSE	TRUE	1
CD49d	FALSE	FALSE	TRUE	1
Integrinalpha9beta1	FALSE	FALSE	TRUE	1
