receptor	gene_symbol
CD100	SEMA4D
CD102	ICAM2
CD11a	ITGAL
CD18	ITGB2
CD184CXCR4	CXCR4
CD1b	CD1B
CD1c	CD1C
CD1d	CD1D
CD2	CD2
CD27	CD27
CD28	CD28
CD38	CD38
CD4	CD4
CD45	PTPRC
CD48	CD48
CD5	CD5
CD50ICAM3	ICAM3
CD7	CD7
CD84	CD84
CD8a	CD8A
