Dataset,Pnumber,Cellline,Rawfile,Name
full proteome of 59 cell lines,P003357,Caki-1,00463_H06_P003357_B00L_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_A06_P003357_B00E_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_D06_P003357_B00H_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_G06_P003357_B00K_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_H05_P003357_B00D_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_C06_P003357_B00G_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_F05_P003357_B00B_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_F06_P003357_B00J_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003357,Caki-1,00463_E06_P003357_B00I_A00_R1.raw,Caki-1 cell
full proteome of 59 cell lines,P003358,SF-539,00463_E04_P003358_B00E_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_D04_P003358_B00D_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_B05_P003358_B00J_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_C04_P003358_B00C_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_F04_P003358_B00F_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_H04_P003358_B00H_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_B04_P003358_B00B_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_C05_P003358_B00K_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_A04_P003358_B00A_A00_R1.raw,SF-539 cell
full proteome of 59 cell lines,P003358,SF-539,00463_A05_P003358_B00I_A00_R1.raw,SF-539 cell
