Dataset,Pnumber,Cellline,Rawfile,Name
deep proteome of 9 cell lines,P003813,,00522_B08_P003813_B0J_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_A07_P003813_B0A_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_G08_P003813_B0O_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_C08_P003813_B0K_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_G09_P003813_B0W_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_F09_P003813_B0V_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_F08_P003813_B0N_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_D08_P003813_B0L_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_H09_P003813_B0X_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_B09_P003813_B0R_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_F07_P003813_B0F_A00_R1.raw,PC-3 cell
deep proteome of 9 cell lines,P003813,,00522_D07_P003813_B0D_A00_R1.raw,PC-3 cell
