var	Tx	Px	FACS	stat
CD24	TRUE	FALSE	TRUE	2
EGFR	TRUE	FALSE	TRUE	2
CD106	FALSE	FALSE	TRUE	1
CD26	FALSE	FALSE	TRUE	1
SSEA3	FALSE	FALSE	TRUE	1
SSEA4	FALSE	FALSE	TRUE	1
Tim1	FALSE	FALSE	TRUE	1
TRA160R	FALSE	FALSE	TRUE	1
TRA181	FALSE	FALSE	TRUE	1
