var	Tx	Px	FACS	stat
CD105	FALSE	FALSE	TRUE	1
CD273B7DC	FALSE	FALSE	TRUE	1
CD275B7H2	FALSE	FALSE	TRUE	1
CD49e	FALSE	FALSE	TRUE	1
CD80	FALSE	FALSE	TRUE	1
HLAA2	FALSE	FALSE	TRUE	1
MSCA1MSC	FALSE	FALSE	TRUE	1
