var	Tx	Px	FACS	stat
CD104	FALSE	FALSE	TRUE	1
CD15	FALSE	FALSE	TRUE	1
CD324ECadherin	FALSE	FALSE	TRUE	1
CD326EpCAM	FALSE	FALSE	TRUE	1
CD49f	FALSE	FALSE	TRUE	1
