"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00001636"	887890	1771300	1317600	1192100	1706300	348980	980290	1717300	2086700	1120700	1006300	504950	1711200	75739	1444200	1053900	1083100	937360	508650	2046800	924980	853260	687450	1776000	1098600	352030	1289200	1273600	1272700	465180	1392900	1017900	2917900	1456400	1858200	816400	1181300	3932400	821960	1135300	4474300	1342500	866020	1759300	832390	2350400	2214600	1432200	949210	274160	1576100	6439800	903340	2201100	1275000	1067700	2515200	1946800	1607700
"IPI00001639"	65340000	45292000	47038000	30037000	62603000	25662000	39526000	75940000	48018000	44371000	36138000	55040000	63352000	53864000	31480000	44315000	33774000	34758000	33979000	34404000	39716000	32088000	23075000	39273000	39724000	48062000	32039000	21870000	32624000	33432000	28747000	41690000	30546000	23448000	14110000	27650000	37802000	34523000	1796000	39621000	17281000	46514000	26009000	46942000	29198000	34134000	40050000	43517000	29507000	36475000	7934500	45797000	30574000	23993000	51657000	37047000	45538000	56720000	33198000
"IPI00002214"	4988300	1568300	5604300	1352800	5455900	2196100	5153600	14030000	5775800	5935200	3137700	2090300	5574400	8221800	2419600	3457000	3600900	2458700	1752000	1883200	3942100	4170800	806480	4101700	4270800	3065700	5985500	3146600	1692600	1211900	2561500	5747600	13717000	4867000	4506300	3636400	1275000	3556900	4163900	1880400	1833400	4349800	2659900	6449400	339940	3277900	6080100	2988400	3040400	5969300	7958100	3199900	4312900	4033100	5831800	4213500	7173500	6302200	5738000
"IPI00002520"	12108000	9379100	17755000	20250000	15766000	20653000	4386900	11940000	26464000	22827000	27039000	42061000	20808000	45495000	6166300	12262000	13704000	17847000	25876000	9655700	19186000	23261000	13436000	15904000	30913000	10525000	10995000	12771000	25537000	15096000	16682000	17419000	18202000	18060000	25250000	6784300	21482000	12718000	12004000	25569000	21596000	19291000	21575000	18092000	16867000	40844000	20089000	24874000	17557000	2381200	20798000	31230000	18921000	19656000	5192300	31757000	17228000	20551000	28324000
"IPI00002966"	40264000	31054000	22345000	7485400	38892000	26536000	16445000	16751000	54336000	26443000	53725000	36997000	33686000	17315000	22134000	33238000	19883000	27667000	20729000	22582000	26836000	54713000	19265000	22508000	55925000	37122000	23396000	62735000	41810000	27504000	30753000	12189000	13239000	14634000	12715000	19198000	31186000	21662000	7645100	21702000	23897000	55067000	16088000	48569000	2937800	22031000	41493000	19642000	21654000	27259000	7567500	50257000	34343000	44422000	19863000	49152000	38031000	26156000	25187000
"IPI00003269"	59169000	51111000	42062000	86942000	39065000	114100000	278550	948750	6642400	80344000	197100000	159790000	115900000	114530000	37296000	36738000	33627000	27694000	26553000	45296000	40767000	29058000	10503000	35647000	17997000	31588000	76129000	79775000	29629000	33790000	27504000	38062000	42956000	124700000	31661000	33774000	43996000	47537000	35480000	47309000	47222000	64877000	69240000	31637000	43598000	52121000	55283000	37719000	51909000	26947000	25322000	63019000	39927000	51805000	42605000	26483000	47294000	61213000	41360000
"IPI00003362"	116410000	158210000	120420000	380600000	129480000	420440000	44026000	23721000	56280000	221400000	209560000	393300000	279690000	388290000	257840000	2313200	121050000	134700000	279520000	173070000	200220000	148470000	202590000	153640000	207670000	108960000	241920000	206790000	237530000	470930000	197520000	290790000	362470000	262440000	128620000	154140000	122220000	56375000	272460000	169750000	167680000	225190000	197790000	153210000	37381000	141130000	119360000	194330000	401710000	258360000	226350000	57674000	90673000	5150300	285400000	199780000	109250000	128070000	114750000
"IPI00003815"	24110000	10860000	24004000	9298000	11675000	6306500	15340000	923810	5332300	9798500	33357000	18163000	28208000	20101000	50593000	35690000	11067000	24833000	12289000	20891000	19597000	30778000	12174000	18602000	18783000	25711000	26143000	6291300	18137000	15560000	10198000	11601000	15621000	26868000	21903000	18058000	9532600	21257000	7899900	15562000	13276000	19674000	22579000	31042000	3185600	11299000	11624000	18697000	11326000	23024000	26022000	63111000	8147200	16200000	69142000	15264000	7320000	24216000	18256000
"IPI00003865"	202160000	226090000	253150000	199100000	305300000	268890000	217440000	29829000	40484000	312620000	642120000	508980000	386140000	653040000	143870000	11448000	172450000	257560000	145870000	188340000	173510000	226740000	189950000	213520000	206890000	221590000	219150000	217870000	212750000	257180000	183260000	155920000	410370000	365270000	232550000	280720000	149380000	318490000	286020000	196380000	173110000	267060000	161880000	274390000	25315000	209140000	261700000	207490000	161610000	221740000	200760000	375930000	217320000	18769000	201510000	172440000	211930000	253620000	263630000
"IPI00003881"	23030000	15761000	3472200	2139200	7807500	8353200	5366000	11282000	7586800	10890000	16179000	13195000	11446000	20479000	8016300	8094000	16507000	11734000	10192000	5677500	16112000	11240000	11297000	10589000	3711000	10083000	9905000	10112000	10395000	13963000	11549000	11821000	5447300	30763000	13126000	2972500	8969300	11232000	6215000	10242000	5967500	8543000	7366300	13744000	12947000	14014000	9471900	7693200	5884500	1375000	1203800	10008000	15032000	10992000	6521900	14115000	7604300	12091000	13224000
"IPI00003923"	1058200	1206000	688520	735390	1383700	102750	1295700	2069800	2332500	1199200	1941400	456960	903800	805140	883530	1025600	1044300	1513700	43528	598770	633500	1318700	832580	738500	970520	1575700	247020	1179000	721480	1784600	910350	875660	1706800	783580	1232100	198260	1029300	1734000	1723300	966620	1520900	1376600	755580	1106300	180250	566690	2362900	764030	785100	798910	226440	3468500	1524000	1704900	386470	972430	1779900	1051100	1104400
"IPI00003965"	4724100	5243000	6654400	695910	5543200	1208700	2583100	6163600	12185000	5940500	2174900	3216200	2411700	7959600	3911600	4916700	6102200	5956300	4959000	2667100	4916300	3838600	6773000	3487500	1829200	4479300	4648900	4366100	6462100	8506500	3376900	4416800	2017700	2592300	11691000	3705100	3790000	9732900	4096600	4850400	5092700	3950100	4024000	3807300	2172800	4975400	6636400	1731800	3887800	14245000	9103000	9469300	6625500	5451600	4814100	8070300	3977500	6235300	9000400
"IPI00004273"	5692400	5031900	3490500	1653500	3552800	3892700	1676100	5693000	2116200	2408800	2628400	4028500	2485700	1418900	2306200	2439600	3601200	2959400	2456300	3321100	2154000	2871800	3064800	2663200	2502600	974180	2807500	3763300	2716100	1724200	3116200	1539000	381490	602440	38160	505700	1016600	2836800	4061200	1502300	1242100	1652600	4315800	2236300	3824000	1867800	3769900	1901400	2803100	2557200	2982300	3880500	4548700	1602700	645590	2463300	2301500	3760700	1823800
