"LC.H522"	"CO.HCC2998"	"RE.SN12C"	"BR.HS578T"	"LE.K562"	"BR.BT549"	"LC.EKVX"	"LC.HOP62"	"ME.SKMEL28"	"BR.T47D"	"ME.MDAMB435"	"LE.SR"	"BR.MDAMB231"	"ME.LOXIMVI"	"CNS.SNB75"	"ME.M14"	"OV.ADRRES"	"CO.HT29"	"LC.H226"	"RE.RXF393"	"CNS.U251"	"ME.SKMEL5"	"OV.SKOV3"	"PR.DU145"	"OV.OVCAR3"	"OV.IGROV1"	"ME.SKMEL2"	"OV.OVCAR4"	"ME.UACC62"	"CO.COLO205"	"ME.UACC257"	"CNS.SNB19"	"RE.7860"	"LE.HL60"	"CO.SW620"	"LC.A549"	"RE.A498"	"LE.CCRFCEM"	"LC.H23"	"ME.MALME3M"	"RE.UO31"	"RE.TK10"	"LC.HOP92"	"CO.HCT116"	"LC.H322M"	"RE.ACHN"	"CO.HCT15"	"RE.CAKI1"	"CNS.SF539"	"LE.RPMI8226"	"CNS.SF295"	"LE.MOLT4"	"BR.MCF7"	"OV.OVCAR5"	"CNS.SF268"	"LC.H460"	"OV.OVCAR8"	"PR.PC3"	"CO.KM12"
"IPI00382750"	0	0	0	0	0	0	0	0	431320	0	0	0	0	0	0	0	0	0	0	0	0	107540	0	0	0	0	0	0	0	0	203100	0	0	0	0	0	0	0	0	85876	0	0	0	0	127150	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000138"	58438	29545	0	381850	104340	373020	186480	313730	1664800	0	0	241420	188970	187250	439560	0	453230	198860	1257500	235700	69151	0	294490	262820	0	0	0	365040	0	145360	246770	132080	319200	0	96949	94894	313080	202860	298330	109990	170170	149570	115950	0	406720	0	0	155340	855360	0	133750	0	347500	422700	0	283180	249100	110870	455500
"IPI00220726"	0	0	0	0	141870	0	458190	270300	0	0	0	0	0	218590	0	181020	85514	92416	0	777720	96463	107680	102460	92686	0	40224	0	0	136840	461690	77948	0	334020	260690	0	0	251910	306930	0	123350	271660	253650	0	0	0	334550	96582	163440	0	757920	24986	0	0	351090	0	294440	0	227410	0
"IPI00000155"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327840	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000162"	0	0	0	0	0	0	0	0	36508	0	0	9209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000171"	0	0	0	0	275210	0	0	0	0	0	0	0	0	0	0	0	0	75244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000173"	0	0	0	0	0	0	0	0	55854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90540	0	501240	0	0	148110	0	0	0	0	0	93853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00101258"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42491	0	69248	126950	0	0	0	178130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66807	0	0	0	0	0	0	0	0	206140	0	0	285900	0	0	0
"IPI00000184"	260510	0	311560	0	0	0	1041000	1582600	824550	811990	570830	257260	503100	458410	0	154130	462210	337700	0	0	0	0	594650	515080	0	0	0	302830	308500	118440	0	0	0	332270	0	180930	0	0	0	205570	445020	56847	208390	0	67960	152750	0	0	0	0	480720	0	233330	0	840630	540390	465910	147950	118430
"IPI00218624"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1323400	0	0	0	0	0	0	0	579230	0	0	0	0	0	0	0	0	0	0	0	222480	0	0	0	0	0	461370	0	0	452200	0	0	0	0	0	0	0	0	110570	0	2768700	0	0
"IPI00000230"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290930	0	0	0	0	0	0	0	0	0	0	0
"IPI00000279"	1869900	603290	582810	258910	576060	149960	719500	1272100	270860	306120	417060	511250	688390	534250	312200	234380	246540	354080	188150	420980	359290	416020	220810	280030	200210	354340	263280	200830	401990	155690	234970	813310	1111600	572410	243090	229640	270980	917690	1028800	307960	594120	520810	316470	687100	486300	124480	994970	75373	0	650570	734470	1116900	453030	696800	835930	759890	984730	684610	871370
"IPI00844425"	274030	0	0	719900	0	0	309730	360900	0	394290	728760	0	0	0	287010	540400	467920	669360	139320	1434800	0	0	124000	427190	271350	1070100	0	0	141650	95393	570940	1658600	997690	0	680900	0	0	585180	0	331310	811190	297890	0	438670	0	0	189420	802170	163870	84389	204540	0	0	0	1871300	0	0	26097	233250
"IPI00000305"	51915	0	0	50054	45796	92280	0	0	0	0	0	0	0	146680	0	40669	177980	64958	104060	140770	193500	154000	0	135160	0	0	0	68463	0	101460	168160	0	0	0	159830	0	74080	136580	0	0	157630	77377	0	0	0	158000	124340	154240	137360	125130	65935	0	105180	88581	176540	80322	94045	0	63991
"IPI00000330"	64607	0	549870	123240	62246	155660	0	0	0	0	0	328940	0	0	0	0	247190	196490	0	324130	302240	233170	0	303840	0	381600	698590	136840	111700	113000	546470	1367200	0	0	756760	255040	138700	122800	0	113740	225340	0	285520	245720	0	182380	256270	170190	268330	71979	157140	0	533670	113860	86252	212240	110440	257780	129770
"IPI00000335"	3314500	3035500	3782700	4319400	1858700	7583500	5388200	25906000	33997000	4426400	2061200	5009400	3239000	1628200	6009500	2903100	6383400	2698700	3750300	334890	1625000	1227900	8072100	9671200	3027100	0	5812000	5654600	4526200	3604900	9820900	4690500	1464400	2645500	2895500	8866600	3109800	4315300	5083800	8592200	2819200	2138800	8927300	3640800	8689600	6579300	3513500	0	9098100	2757500	3255900	93778	7972500	6718900	4557600	3367300	2216700	6376100	5079000
"IPI00000425"	0	0	0	0	0	0	0	41465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45883	0	0	0	0	0	0	0	0	0
"IPI00867739"	51158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39002	0	0	0	0	0	0	119050	0	0	0	0	0	0	0	116380
"IPI00000494"	2556100	164220	3576500	6611100	1171300	3954800	8281700	5597600	5838300	917730	1158100	1678900	1341800	3302500	4998100	1150800	1768100	706870	8273400	482450	699290	0	1194800	2466300	4202200	1861600	2596500	3778000	2745400	519980	1249200	10374000	397390	213810	1714400	1771000	2815800	1298700	1548000	871330	1152900	2820600	2064000	2273000	2489400	2936800	1502100	2358800	3112500	1326000	3422400	0	1873000	4487400	8624600	3048100	4676900	2437900	1713500
"IPI00513945"	435070	0	123760	643890	86218	95937	286610	1747000	244620	128310	0	69333	75406	145110	184880	53083	60774	53606	0	0	0	0	0	101620	0	0	0	90762	0	0	0	0	0	0	80545	408910	0	0	0	105780	0	0	0	139750	219460	0	0	0	0	0	54731	0	127510	0	0	0	0	0	73167
"IPI00000606"	0	0	343940	0	994120	124840	123630	0	0	0	0	0	105170	0	0	352890	0	0	0	235340	245770	106240	0	115500	128670	0	136460	0	110580	0	52733	308010	0	0	159430	0	123860	330590	525020	0	116300	673810	0	561990	0	0	200800	0	0	0	166420	178390	0	0	0	190070	240350	359080	152890
"IPI00000643"	731610	0	805490	602770	1126100	498110	0	965020	683180	0	149350	94326	368490	0	0	186040	1429700	632530	372090	0	832320	1193900	287310	964050	201150	0	917560	608470	0	725940	0	387880	317370	167360	1018600	536730	109140	574460	113730	0	494860	128660	130250	1307900	0	1587000	373370	131100	143110	315540	439860	981680	0	86800	4323900	1011300	1307200	1035700	485790
"IPI00000655"	0	0	0	0	0	464360	0	0	0	0	0	0	0	0	0	0	0	0	507130	0	133940	0	0	0	0	0	0	0	0	0	0	674170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000656"	24370	48787	0	0	0	0	0	28915	93152	0	0	21193	10882	18146	0	17362	36750	0	35780	21855	48462	0	67826	20892	0	11678	0	0	0	36022	0	0	0	0	0	0	0	55147	0	0	0	0	0	37698	0	0	0	0	0	0	0	60821	0	0	0	0	0	0	0
"IPI00000663"	0	106750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79247	0	0	80313	0	68548	0	0	0	0	0	0
"IPI00000684"	2589500	586660	2333700	3077000	9072700	20887000	756080	13263000	765850	1073300	1767700	621340	9355400	5116800	1819800	1300200	13498000	286280	11521000	3399600	5214600	386930	385180	13436000	0	338230	0	189510	1357000	493300	106150	902850	927570	374820	245250	0	1716600	2010200	1083500	1247100	4629800	3114600	1891100	1076300	0	2164600	257770	2869000	491190	3289700	1080800	853020	143740	290360	3479100	506500	17216000	2435100	0
"IPI00000685"	341220	168740	0	0	192750	167930	0	409670	1223900	0	77240	0	284230	247370	0	107960	0	125070	255690	0	198330	227620	178040	277050	648320	383840	357700	0	204110	124200	256710	101160	0	0	512330	290640	156910	294840	154020	148810	144030	163950	240370	324680	0	179450	0	300400	275590	299610	238090	0	0	0	0	414200	111080	114880	296590
"IPI00000686"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000690"	14116000	12845000	12718000	3944700	7597100	21472000	10713000	13759000	22466000	5022500	13018000	30938000	6109900	10400000	4040500	5767200	7090700	8747900	7618700	4141000	10674000	10762000	7587600	4062800	9339100	9265800	7820200	10328000	8720600	7136500	14749000	14909000	1967200	11618000	15373000	12626000	9058600	3950900	13494000	13855000	3682300	6920300	14140000	5462800	101770	6552100	7450400	9869700	4951100	8112100	6479300	4576400	10443000	294950	5636100	10032000	4176200	12362000	16607000
"IPI00000691"	0	61627	0	0	0	241510	1419600	6436200	0	694870	0	0	0	0	0	0	325100	119310	0	393120	44846	0	661990	479230	107280	0	866310	327480	0	0	0	0	0	0	0	0	0	0	209790	0	1425100	1127100	0	0	120770	1067700	0	332630	0	0	0	0	0	3090300	0	227960	0	101900	171100
"IPI00000692"	0	0	0	0	0	0	11777000	0	0	6748100	0	0	318010	0	0	0	141470	0	0	0	0	0	953320	0	0	0	0	411630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119650	0	7514800	0	0	0	0	0	0	0	0	582510	0	0	41536	0	0
"IPI00000695"	36420	0	0	0	0	0	0	0	0	0	0	0	0	0	61778	0	0	37515	0	0	0	0	0	13064	0	0	56840	98818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5761.5	0	0	0	0	0	0	0
"IPI00000728"	204390	1093500	1505900	55405	4759900	196460	867480	508470	47797	975730	0	287850	529120	999220	168310	205700	348680	202060	954080	566740	454570	486430	105640	274390	239800	402240	288580	334880	743060	412460	217920	157810	359970	41207	144490	0	144570	724090	924940	578310	1151100	267430	258020	503650	0	572130	264450	377040	223730	322480	409110	1257000	435580	231130	354020	1067600	42810	1783300	381000
"IPI00000735"	142760	0	411360	0	0	0	392520	0	0	1126100	0	0	0	0	0	0	0	121900	0	0	0	169380	141790	0	0	0	0	481220	365410	216690	0	0	203720	0	0	335090	623420	0	0	0	0	0	0	0	987750	0	0	665390	0	0	651320	0	0	240150	0	0	0	154440	59627
"IPI00000736"	0	0	0	0	0	0	341030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219270	0	0	0	0	0	0	79608	0	262390	0	0	0	312720	0	0	0	0	0	0	0	0	779490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000760"	3910100	930930	472390	1521400	556220	1752900	2694800	0	0	2318000	0	0	1174900	0	83147	0	1068500	1109500	392410	0	0	0	714980	249950	1132400	207980	1587800	610930	0	0	427830	0	260800	0	1709700	1149100	592590	903870	336460	1554300	1311200	792450	0	1076200	363840	114280	882970	1566400	2065800	0	0	0	1097500	0	1347600	0	2634200	111840	2372900
"IPI00000787"	0	0	0	0	0	876790	0	0	0	0	877800	0	1081200	0	210260	0	0	0	1388100	973560	0	346840	695040	330260	0	1108800	0	0	0	0	0	0	299640	822160	0	0	629760	1533500	115180	155850	469890	757010	302410	0	0	892220	0	0	1990500	428980	1049300	2049500	0	1442400	3244400	567020	0	121900	0
"IPI00000792"	4226600	4495800	11325000	1420600	6840500	3695200	8842400	735680	9863300	4333500	1222900	4871700	1549300	3319600	5328000	3926600	3436700	5565500	182000	9325300	4554700	2653300	3650500	2822300	5401800	5251400	8773400	10803000	1082000	5308800	4971800	8693800	16711000	727440	4001700	6035200	12570000	2722000	7898500	1088600	10640000	15416000	3952600	2451700	4069400	15549000	2109300	22998000	4352800	549860	1440100	0	2583900	0	6433100	1671900	5775300	6083400	4470000
"IPI00000811"	2358100	3010700	4502000	3103800	2626600	4864200	863370	665790	155440	3627500	3875100	5614100	3133700	4408000	990070	2956200	3557100	3579300	1563300	1442100	2585600	2608400	3035700	3931100	5629800	1924000	3588900	3591300	4133000	5790700	1703000	5525800	222080	2127200	3923100	4714500	1978900	2248600	2714800	1345800	2874900	2299000	1978400	2673500	2347600	2722300	5751000	3012500	2622600	2228500	1694500	786610	2050500	3145500	2097600	4703600	5923200	3573600	5102700
"IPI00000816"	77593000	66323000	48400000	68450000	57959000	73486000	15011000	15938000	34006000	53080000	135370000	90882000	79397000	62636000	47908000	136090000	105150000	62046000	58763000	88273000	91330000	96490000	40505000	78074000	39241000	37109000	53640000	22499000	43884000	64903000	51594000	80831000	68176000	56540000	114900000	77945000	40425000	74763000	39203000	32073000	53954000	80493000	32346000	63424000	54757000	59408000	96485000	48797000	38960000	58150000	103990000	15388000	51431000	45792000	43653000	43561000	114680000	43312000	128710000
"IPI00000821"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64596	0	0	0	0
"IPI00455210"	8477200	8166900	3817100	2754700	8708800	1804500	1484300	1734200	2277000	2680200	2322100	4929900	1633700	5006500	3365200	7186400	6230000	12013000	5532500	4314600	6737300	6697100	4555700	3083100	6925800	8246500	7950200	7177400	9201500	5819800	12076000	5857100	3367000	7331700	10258000	1829600	1958000	9485000	5563600	10479000	1373600	4452900	9367600	2960000	1100100	4297200	2900900	5198400	9019200	12421000	6800900	16926000	18345000	3237700	3653600	9956900	3946000	3643500	11487000
"IPI00913848"	960630	107250	1929100	9156300	0	1140300	4114500	3208100	132860	811780	77440	0	4186200	2083200	11854000	84531	13391000	80991	1764400	3150100	1575700	738560	2617700	2632800	0	744950	593520	795980	963920	232470	408860	817370	2349600	0	227520	1875200	1498200	0	1478200	946150	1870900	1119800	572550	1124000	0	1537500	0	1382100	2210000	0	1102600	0	32735	0	1284400	1342900	8671400	1245700	273850
"IPI00000858"	0	0	0	0	0	0	0	97297	30509	0	0	0	223360	0	76243	0	131280	159800	0	0	0	0	0	125060	0	193800	415230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122400	127060	139170	0	0	0	0	0	144830	0	91009	100570	0	0	125710	119690	316180	322070
"IPI00000861"	7033500	5938800	10270000	6941700	8220300	3325700	1672200	24144	94824	16536000	1915800	6550400	15508000	8141500	9580500	12241000	8167200	12593000	8654900	10555000	3272800	122240	5403300	6087000	2754800	4211500	7930600	7075300	2797400	16185000	5823300	2825900	9280200	10275000	17474000	14693000	6883500	7460200	5721000	5571400	9025700	7677900	7049700	7357200	10899000	5833300	4304300	12583000	7121700	5284400	16984000	486920	737800	13249000	6624200	6869100	9886000	2649800	29016000
"IPI00000865"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414890	0	0	0	0	0	0	0	31301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000873"	12141000	16230000	12156000	5657000	25248000	4183500	6775600	5805000	5605300	11418000	8833000	13345000	14956000	14147000	12586000	12849000	24461000	15692000	8106100	9046600	13435000	14438000	9344000	18714000	8033200	9222400	12092000	8570400	14236000	16787000	13273000	6904400	3099300	27946000	8222700	7757100	9193500	17626000	8845700	10764000	10794000	12943000	4026500	20200000	1753800	9393300	14939000	7250500	8316400	40443000	12147000	12912000	8727500	14497000	23655000	10040000	19822000	7650700	6757000
"IPI00000874"	184740000	101140000	318740000	104690000	135920000	134450000	93038000	7534200	9567700	100010000	20354000	174450000	104750000	110450000	47094000	138050000	116070000	143190000	121610000	167980000	210450000	124450000	119670000	130710000	161940000	158750000	186540000	123990000	34097000	177510000	60807000	182530000	15525000	67462000	96856000	177830000	91161000	124730000	161440000	49881000	178210000	370960000	94034000	157950000	152260000	144730000	209420000	113400000	92126000	226590000	120180000	126910000	67693000	85856000	108140000	178640000	119670000	233960000	119270000
"IPI00000877"	41531000	47320000	27030000	59096000	31270000	73232000	35344000	72690000	79167000	50436000	44438000	149750000	50823000	49850000	67645000	35815000	47698000	48566000	89142000	29620000	67868000	27200000	43263000	35831000	35778000	21326000	36077000	124780000	53404000	69132000	68011000	37448000	22082000	19425000	44267000	19152000	24118000	26917000	38515000	36407000	40113000	13519000	27978000	15862000	16778000	16765000	41823000	18199000	50606000	61408000	60941000	19603000	17319000	51610000	191320000	29687000	16243000	28330000	37830000
"IPI00000897"	0	0	158200	0	0	0	0	0	0	0	0	0	0	0	0	0	89795	0	226860	0	0	140320	0	101750	0	0	0	0	0	0	0	0	0	0	0	0	103790	144720	0	0	0	0	0	190660	0	0	0	0	187210	0	0	260840	0	0	0	0	0	0	0
"IPI00000948"	1374100	2274600	447090	1007500	1021200	872700	248430	2353600	771380	163300	0	929680	827620	0	1018200	546180	402460	1070400	1461600	595800	1045700	1437900	229260	1092500	0	468610	351130	903160	1696100	2374700	706130	2286800	0	0	1963000	262590	2125900	0	1669200	2619800	1034300	927200	4481000	1130200	7219500	1820200	1294700	649270	914940	0	742520	0	1982100	1999600	326730	1532900	160270	510490	2625900
"IPI00000949"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3898000	0	0	0	0	0	0	0	0	0	0	0	181510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67089	0	0	0	0	0	0	0	0	0	0	0	0	0
"IPI00000980"	734040	452040	227390	0	0	1005800	0	7739600	1611200	93907	726200	330860	659210	744430	1122900	822610	1457600	1171400	138400	0	0	1155100	0	577530	0	0	0	0	0	0	0	0	0	527050	0	1048400	868320	208380	0	129680	0	786540	769870	0	390270	0	0	0	0	0	0	0	0	0	0	0	914770	0	0
